,id,name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
31,4RD04qm1oCQagJXM2SCMxK,D.J. I LOVE YOU,23,0.6659999999999999,0.733,1,-7.9639999999999995,1,0.0337,0.478,2.490000000000001e-05,0.040999999999999995,0.779,102.28
32,0EcDE3kLCyaz1yJm7d8jvF,2004,60,0.889,0.17800000000000002,5,-15.065,1,0.385,0.95,0.0,0.0908,0.39299999999999996,127.992
33,3WxATUIaUWiMkcpil3OQYS,STAY BY ME,35,0.6890000000000001,0.835,11,-5.636,0,0.0333,0.237,0.00018,0.408,0.866,93.845
34,1qUo7d5lAOclNVbTUY0A2R,Remember Summer Days,48,0.634,0.665,4,-4.968999999999999,1,0.0318,0.342,8.87e-05,0.0709,0.787,96.698
35,7KYzARBusZhyZ6jygZDmVr,SHYNESS BOY,43,0.765,0.777,1,-5.301,0,0.0306,0.14200000000000002,0.000122,0.104,0.87,119.935
36,4lL4xJcnGCLl7JbW3nSP26,Umikaze Tsushin (海風通信),22,0.665,0.6960000000000001,0,-5.602,1,0.0268,0.177,1.33e-05,0.033,0.508,126.476
37,2JCdUwmGDO3SBkhwkfRaLr,killer tune kills me,51,0.787,0.414,1,-8.745,1,0.0379,0.39899999999999997,0.5870000000000001,0.14,0.0486,104.999
38,1f76rJMP93OCXuDn3lzq0S,男と女,45,0.655,0.894,9,-6.186,1,0.0354,0.0838,3.96e-06,0.0505,0.877,121.96799999999999
39,0aRPz0c89bqxTA5spi8iZ7,守ってあげたい,47,0.7290000000000001,0.476,7,-9.827,1,0.027100000000000003,0.675,7.569999999999999e-06,0.094,0.562,112.21700000000001
40,38LUbz74v3nmP8x0efElw2,Last Summer Whisper,54,0.732,0.488,4,-8.65,1,0.0446,0.222,0.000149,0.0383,0.61,78.512
41,37NPLfEZQQ0rZTa9SRqWBL,midnight cruisin',45,0.802,0.7040000000000001,0,-7.896,0,0.0432,0.18100000000000002,0.000912,0.28400000000000003,0.92,121.85
42,7zFXmv6vqI4qOt4yGf3jYZ,Get You (feat. Kali Uchis),79,0.6579999999999999,0.294,4,-8.533,0,0.032100000000000004,0.42200000000000004,5.2e-05,0.07490000000000001,0.358,74.038
43,6Yu1OL8I0D4vjOzYdsXYGK,12:51,60,0.452,0.889,4,-3.838,1,0.0379,0.312,0.8,0.5579999999999999,0.591,145.056
0,3yIDHN6g4ytVRAWR6mflkz,Bottoms Up,0,0.897,0.455,8,-4.729,1,0.0702,0.449,1.6899999999999997e-05,0.0815,0.685,134.994
1,0enY7XMbYUYLl82cLtmIgX,マーブル,32,0.369,0.604,0,-5.0969999999999995,1,0.0295,0.401,9.81e-06,0.11,0.302,84.425
2,3kzMcBgOeIzwNQW2VTJQcF,Isolation,45,0.7090000000000001,0.381,10,-8.049,0,0.0384,0.858,0.593,0.11199999999999999,0.26,139.765
